stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
x.png,tab,0,0,0,1,tab,1,0.281708952505,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
+.png,None,0,1,1,0,None,1,,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
+.png,None,1,0,2,0,None,1,,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
x.png,tab,1,1,3,1,tab,1,0.219127093791,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
x.png,tab,2,0,4,1,tab,1,0.313343492919,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
+.png,None,2,1,5,0,None,1,,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
+.png,None,3,0,6,0,None,1,,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
x.png,tab,3,1,7,1,tab,1,0.156455985387,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
x.png,tab,4,0,8,1,tab,1,0.37633857748,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
+.png,None,4,1,9,0,None,1,,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
+.png,None,5,0,10,0,None,1,,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
x.png,tab,5,1,11,1,tab,1,0.181076395442,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
+.png,None,6,0,12,0,None,1,,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
x.png,tab,6,1,13,1,tab,1,0.218783928896,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
x.png,tab,7,0,14,1,tab,1,0.219108797493,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
+.png,None,7,1,15,0,None,1,,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
+.png,None,8,0,16,0,None,1,,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
x.png,tab,8,1,17,1,tab,1,0.187273891526,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
+.png,None,9,0,18,0,None,1,,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
x.png,tab,9,1,19,1,tab,1,0.125749194995,3,n,KM_12,31.9552721351,go_no-go,2017_maj_25_1536,
