1063.6194 	EXP 	stimulus: autoDraw = True
1063.7445 	EXP 	stimulus: autoDraw = False
1066.2304 	EXP 	New trial (rep=4, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1066.4174 	EXP 	cue: autoDraw = False
1066.4174 	EXP 	stimulus: autoDraw = False
1066.4174 	EXP 	stimulus: image = u'x.png'
1066.4174 	EXP 	cue: autoDraw = True
1066.5418 	EXP 	cue: autoDraw = False
1068.0731 	EXP 	stimulus: autoDraw = True
1068.1983 	EXP 	stimulus: autoDraw = False
1068.4799 	DATA 	Keypress: tab
1070.6690 	EXP 	New trial (rep=5, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1070.8864 	EXP 	cue: autoDraw = False
1070.8864 	EXP 	stimulus: autoDraw = False
1070.8864 	EXP 	stimulus: image = u'x.png'
1070.8864 	EXP 	cue: autoDraw = True
1070.9800 	EXP 	cue: autoDraw = False
1072.5118 	EXP 	stimulus: autoDraw = True
1072.6369 	EXP 	stimulus: autoDraw = False
1073.0433 	DATA 	Keypress: tab
1075.1068 	EXP 	New trial (rep=5, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1075.1693 	EXP 	cue: autoDraw = False
1075.1693 	EXP 	stimulus: autoDraw = False
1075.1693 	EXP 	stimulus: image = u'+.png'
1075.2934 	EXP 	cue: autoDraw = True
1075.4086 	EXP 	cue: autoDraw = False
1076.9479 	EXP 	stimulus: autoDraw = True
1077.0729 	EXP 	stimulus: autoDraw = False
1079.5438 	EXP 	New trial (rep=6, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1079.8084 	EXP 	cue: autoDraw = False
1079.8084 	EXP 	stimulus: autoDraw = False
1079.8084 	EXP 	stimulus: image = u'x.png'
1079.8084 	EXP 	cue: autoDraw = True
1079.8703 	EXP 	cue: autoDraw = False
1081.4000 	EXP 	stimulus: autoDraw = True
1081.5253 	EXP 	stimulus: autoDraw = False
1081.7440 	DATA 	Keypress: tab
1083.9951 	EXP 	New trial (rep=6, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1084.0578 	EXP 	cue: autoDraw = False
1084.0578 	EXP 	stimulus: autoDraw = False
1084.0578 	EXP 	stimulus: image = u'+.png'
1084.1670 	EXP 	cue: autoDraw = True
1084.3227 	EXP 	cue: autoDraw = False
1085.8534 	EXP 	stimulus: autoDraw = True
1085.9785 	EXP 	stimulus: autoDraw = False
1086.2292 	DATA 	Keypress: tab
1088.4490 	EXP 	New trial (rep=7, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1088.7451 	EXP 	cue: autoDraw = False
1088.7451 	EXP 	stimulus: autoDraw = False
1088.7451 	EXP 	stimulus: image = u'x.png'
1088.7451 	EXP 	cue: autoDraw = True
1088.7760 	EXP 	cue: autoDraw = False
1090.3076 	EXP 	stimulus: autoDraw = True
1090.4035 	EXP 	stimulus: autoDraw = False
1090.5573 	DATA 	Keypress: tab
1092.8880 	EXP 	New trial (rep=7, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1092.9502 	EXP 	cue: autoDraw = False
1092.9502 	EXP 	stimulus: autoDraw = False
1092.9502 	EXP 	stimulus: image = u'+.png'
1093.0740 	EXP 	cue: autoDraw = True
1093.1991 	EXP 	cue: autoDraw = False
1094.7307 	EXP 	stimulus: autoDraw = True
1094.8555 	EXP 	stimulus: autoDraw = False
1097.3264 	EXP 	New trial (rep=8, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1097.3716 	EXP 	cue: autoDraw = False
1097.3716 	EXP 	stimulus: autoDraw = False
1097.3716 	EXP 	stimulus: image = u'+.png'
1097.5280 	EXP 	cue: autoDraw = True
1097.6528 	EXP 	cue: autoDraw = False
1099.1849 	EXP 	stimulus: autoDraw = True
1099.3095 	EXP 	stimulus: autoDraw = False
1099.4974 	DATA 	Keypress: tab
1101.7625 	EXP 	New trial (rep=8, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1101.9647 	EXP 	cue: autoDraw = False
1101.9647 	EXP 	stimulus: autoDraw = False
1101.9647 	EXP 	stimulus: image = u'x.png'
1101.9647 	EXP 	cue: autoDraw = True
1102.0895 	EXP 	cue: autoDraw = False
1103.6212 	EXP 	stimulus: autoDraw = True
1103.7460 	EXP 	stimulus: autoDraw = False
1104.0591 	DATA 	Keypress: tab
1106.1996 	EXP 	New trial (rep=9, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1106.2622 	EXP 	cue: autoDraw = False
