stimFile;corrAns;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_respons.keys;key_respons.corr;key_respons.rt;session;noise;participant;frameRate;expName;date
+.png;None;0;0;0;0;tab;0;0.533014117042;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;0;1;1;1;tab;1;0.188729999703;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;1;0;2;1;tab;1;0.375410381122;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;1;1;3;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;2;0;4;0;tab;0;0.18774512969;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;2;1;5;1;tab;1;0.18777815206;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;3;0;6;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;3;1;7;1;tab;1;0.562401351286;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;4;0;8;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;4;1;9;1;tab;1;0.313403290231;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;5;0;10;1;tab;1;0.375918657868;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;5;1;11;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;6;0;12;1;tab;1;0.168500672677;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;6;1;13;0;tab;0;0.187820545747;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;7;0;14;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;7;1;15;1;tab;1;0.437983760959;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;8;0;16;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;8;1;17;1;tab;1;0.312592010829;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;9;0;18;1;tab;1;0.375396101153;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;9;1;19;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;10;0;20;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;10;1;21;1;tab;1;0.391822054051;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;11;0;22;1;tab;1;0.375471070874;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;11;1;23;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;12;0;24;1;tab;1;0.406165366177;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;12;1;25;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;13;0;26;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;13;1;27;1;tab;1;0.344222981366;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;14;0;28;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;14;1;29;1;tab;1;0.219201617176;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;15;0;30;1;tab;1;0.490316635463;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
