stimFile;corrAns;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_respons.keys;key_respons.corr;key_respons.rt;session;noise;participant;frameRate;expName;date
+.png;None;15;1;31;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;16;0;32;1;tab;1;0.250644270913;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;16;1;33;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;17;0;34;0;tab;0;0.188039653585;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;17;1;35;1;tab;1;0.187348415027;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;18;0;36;1;tab;1;0.312947224476;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;18;1;37;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;19;0;38;1;tab;1;0.469191688113;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;19;1;39;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;20;0;40;1;tab;1;0.2815804329;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;20;1;41;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;21;0;42;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;21;1;43;1;tab;1;0.343984684674;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;22;0;44;1;tab;1;0.219295775634;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;22;1;45;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;23;0;46;1;tab;1;0.219200278516;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;23;1;47;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;24;0;48;1;tab;1;0.310414319159;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;24;1;49;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;25;0;50;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;25;1;51;1;tab;1;0.344324725913;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;26;0;52;1;tab;1;0.313426941284;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;26;1;53;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;27;0;54;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;27;1;55;1;tab;1;0.34446797159;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;28;0;56;1;tab;1;0.187638030155;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;28;1;57;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
+.png;None;29;0;58;0;None;1;;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
x.png;tab;29;1;59;1;tab;1;0.220509124571;3;y;KM_16;32.0110536359;go_no-go;2017_maj_25_1644
