stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
x.png,tab,0,0,0,1,tab,1,0.350046873093,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,0,1,1,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,1,0,2,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,1,1,3,1,tab,1,0.333352804184,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,2,0,4,1,tab,1,0.233488082886,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,2,1,5,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,3,0,6,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,3,1,7,1,tab,1,0.316723108292,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,4,0,8,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,4,1,9,1,tab,1,0.216788053513,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,5,0,10,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,5,1,11,1,tab,1,0.316807031631,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,6,0,12,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,6,1,13,1,tab,1,0.416766881943,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,7,0,14,1,tab,1,0.400081157684,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,7,1,15,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,8,0,16,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,8,1,17,1,tab,1,0.233438968658,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,9,0,18,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,9,1,19,1,tab,1,0.150112867355,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,10,0,20,1,tab,1,0.316779851913,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,10,1,21,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,11,0,22,1,tab,1,0.350043058395,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,11,1,23,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,12,0,24,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,12,1,25,1,tab,1,0.300150156021,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,13,0,26,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,13,1,27,1,tab,1,0.267156839371,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,14,0,28,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,14,1,29,1,tab,1,0.266803979874,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,15,0,30,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,15,1,31,1,tab,1,0.166832923889,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,16,0,32,1,tab,1,0.21684885025,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,16,1,33,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,17,0,34,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,17,1,35,1,tab,1,0.183482885361,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,18,0,36,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,18,1,37,1,tab,1,0.266782045364,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,19,0,38,1,tab,1,0.283432006836,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,19,1,39,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,20,0,40,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,20,1,41,1,tab,1,0.183480024338,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,21,0,42,1,tab,1,0.383296012878,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,21,1,43,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,22,0,44,1,tab,1,0.250336170197,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,22,1,45,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,23,0,46,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,23,1,47,1,tab,1,0.233421087265,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,24,0,48,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,24,1,49,1,tab,1,0.233402013779,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,25,0,50,1,tab,1,0.316867113113,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
+.png,None,25,1,51,0,None,1,,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
x.png,tab,26,0,52,1,tab,1,0.216800928116,4,n,BJJ_21,60.0305426545,go_no-go,2017_maj_27_1145,
