stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
+.png,None,0,0,0,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,0,1,1,1,tab,1,0.21917528857,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,1,0,2,1,tab,1,0.376082431059,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,1,1,3,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,2,0,4,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,2,1,5,1,tab,1,0.250445244252,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,3,0,6,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,3,1,7,1,tab,1,0.281139539555,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,4,0,8,1,tab,1,0.25024889491,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,4,1,9,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,5,0,10,1,tab,1,0.406728977803,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,5,1,11,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,6,0,12,1,tab,1,0.313855785877,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,6,1,13,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,7,0,14,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,7,1,15,1,tab,1,0.407711616484,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,8,0,16,1,tab,1,0.406819119933,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,8,1,17,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,9,0,18,1,tab,1,0.436809681705,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,9,1,19,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,10,0,20,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,10,1,21,1,tab,1,0.188145860797,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,11,0,22,1,tab,1,0.379084789427,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,11,1,23,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,12,0,24,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,12,1,25,1,tab,1,0.406637050677,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,13,0,26,1,tab,1,0.250381876947,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,13,1,27,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,14,0,28,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,14,1,29,1,tab,1,0.42344856204,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,15,0,30,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,15,1,31,1,tab,1,0.294649706339,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,16,0,32,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,16,1,33,1,tab,1,0.469209984294,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,17,0,34,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,17,1,35,1,tab,1,0.219263199484,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,18,0,36,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,18,1,37,1,tab,1,0.220366771449,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,19,0,38,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,19,1,39,1,tab,1,0.375376912532,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,20,0,40,1,tab,1,0.277403995278,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,20,1,41,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,21,0,42,1,tab,1,0.219341292977,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,21,1,43,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,22,0,44,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,22,1,45,1,tab,1,0.406513886177,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,23,0,46,1,tab,1,0.406016765512,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,23,1,47,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,24,0,48,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,24,1,49,1,tab,1,0.331700362149,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,25,0,50,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,25,1,51,1,tab,1,0.25042739429,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,26,0,52,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,26,1,53,1,tab,1,0.283068224671,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,27,0,54,1,tab,1,0.343932920019,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,27,1,55,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,28,0,56,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
x.png,tab,28,1,57,1,tab,1,0.281496091979,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
+.png,None,29,0,58,0,None,1,,3,y,KM_14,31.9869734289,go_no-go,2017_maj_25_1620,
