stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
+.png,None,0,0,0,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,0,1,1,1,tab,1,0.200132846832,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,1,0,2,1,tab,1,0.283429861069,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,1,1,3,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,2,0,4,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,2,1,5,1,tab,1,0.283518075943,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,3,0,6,1,tab,1,0.383404016495,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,3,1,7,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,4,0,8,1,tab,1,0.283462047577,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,4,1,9,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,5,0,10,1,tab,1,0.599925994873,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,5,1,11,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,6,0,12,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,6,1,13,1,tab,1,0.250133991241,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,7,0,14,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,7,1,15,1,tab,1,0.283642053604,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,8,0,16,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,8,1,17,1,tab,1,0.200044870377,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,9,0,18,1,tab,1,0.700001001358,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,9,1,19,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,10,0,20,1,tab,1,0.350788116455,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,10,1,21,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,11,0,22,1,tab,1,0.350034952164,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,11,1,23,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,12,0,24,1,tab,1,0.266794919968,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,12,1,25,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,13,0,26,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,13,1,27,1,tab,1,0.366660118103,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,14,0,28,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,14,1,29,1,tab,1,0.3000228405,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,15,0,30,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,15,1,31,1,tab,1,0.316747903824,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,16,0,32,1,tab,1,0.400062084198,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,16,1,33,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
x.png,tab,17,0,34,1,tab,1,0.383772134781,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
+.png,None,17,1,35,0,None,1,,2,n,BJJ5,60.0279652224,go_no-go,2017_maj_24_1744,
