stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
x.png,tab,0,0,0,1,tab,1,0.374860603129,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,0,1,1,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,1,0,2,1,tab,1,0.469422844821,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,1,1,3,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,2,0,4,1,tab,1,0.37645147834,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,2,1,5,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,3,0,6,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,3,1,7,1,tab,1,0.312425113982,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,4,0,8,1,tab,1,0.406779850135,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,4,1,9,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,5,0,10,1,tab,1,0.375589772942,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,5,1,11,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,6,0,12,1,tab,1,0.395605347003,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,6,1,13,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,7,0,14,1,tab,1,0.34469377331,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,7,1,15,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,8,0,16,1,tab,1,0.313378300285,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,8,1,17,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,9,0,18,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,9,1,19,1,tab,1,0.313033350394,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,10,0,20,1,tab,1,0.350355325267,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,10,1,21,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,11,0,22,1,tab,1,0.406681675464,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,11,1,23,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,12,0,24,1,tab,1,0.375113626011,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,12,1,25,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,13,0,26,1,tab,1,0.375085066073,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,13,1,27,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,14,0,28,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,14,1,29,1,tab,1,0.399409167236,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,15,0,30,1,tab,1,0.281524205697,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,15,1,31,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,16,0,32,1,tab,1,0.375983810169,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,16,1,33,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,17,0,34,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,17,1,35,1,tab,1,0.406813764945,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,18,0,36,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,18,1,37,1,tab,1,0.344115435495,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,19,0,38,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,19,1,39,1,tab,1,0.375728109851,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,20,0,40,1,tab,1,0.344255557517,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,20,1,41,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,21,0,42,1,tab,1,0.28167102125,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,21,1,43,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,22,0,44,1,tab,1,0.343827605364,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,22,1,45,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,23,0,46,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,23,1,47,1,tab,1,0.406712466618,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,24,0,48,1,tab,1,0.375243930495,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,24,1,49,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,25,0,50,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,25,1,51,1,tab,1,0.312966413214,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,26,0,52,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,26,1,53,1,tab,1,0.375058737467,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,27,0,54,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,27,1,55,1,tab,1,0.313194892253,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,28,0,56,1,tab,1,0.378512699041,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,28,1,57,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
+.png,None,29,0,58,0,None,1,,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
x.png,tab,29,1,59,1,tab,1,0.438623234862,3,n,KM_13,31.9785288134,go_no-go,2017_maj_25_1548,
