stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
x.png,tab,0,0,0,1,tab,1,0.250105142593,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,0,1,1,0,tab,0,0.300383090973,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,1,0,2,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,1,1,3,1,tab,1,0.483335971832,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,2,0,4,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,2,1,5,1,tab,1,0.216764211655,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,3,0,6,1,tab,1,0.133920907974,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,3,1,7,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,4,0,8,1,tab,1,0.21669793129,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,4,1,9,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,5,0,10,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,5,1,11,1,tab,1,0.11683511734,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,6,0,12,1,tab,1,0.133480072021,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,6,1,13,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,7,0,14,1,tab,1,0.166849851608,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,7,1,15,0,tab,0,0.10027384758,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,8,0,16,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,8,1,17,1,tab,1,0.150200128555,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,9,0,18,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,9,1,19,1,tab,1,0.200517892838,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,10,0,20,1,tab,1,0.316795110703,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,10,1,21,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,11,0,22,1,tab,1,0.250136137009,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,11,1,23,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,12,0,24,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,12,1,25,1,tab,1,0.0503630638123,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,13,0,26,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,13,1,27,1,tab,1,0.150131940842,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,14,0,28,1,tab,1,0.133481025696,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,14,1,29,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,15,0,30,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,15,1,31,1,tab,1,0.133450031281,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,16,0,32,1,tab,1,0.116818904877,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,16,1,33,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,17,0,34,1,tab,1,0.233910083771,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,17,1,35,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,18,0,36,1,tab,1,0.216789007187,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,18,1,37,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,19,0,38,1,tab,1,0.116789102554,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,19,1,39,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,20,0,40,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,20,1,41,1,tab,1,0.10015296936,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,21,0,42,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,21,1,43,1,tab,1,0.150124073029,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,22,0,44,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,22,1,45,1,tab,1,0.11682510376,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,23,0,46,1,tab,1,0.116836071014,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,23,1,47,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,24,0,48,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,24,1,49,1,tab,1,0.166882991791,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,25,0,50,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,25,1,51,1,tab,1,0.10004901886,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,26,0,52,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,26,1,53,1,tab,1,0.100433111191,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,27,0,54,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,27,1,55,1,tab,1,0.116710186005,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,28,0,56,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,28,1,57,1,tab,1,0.116807937622,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
x.png,tab,29,0,58,1,tab,1,0.333387136459,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
+.png,None,29,1,59,0,None,1,,2,n,BJJ9,60.0175718256,go_no-go,2017_maj_24_1821,
