stimFile;corrAns;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_respons.keys;key_respons.corr;key_respons.rt;session;noise;participant;frameRate;expName;date
+.png;None;16;0;32;0;None;1;;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;16;1;33;1;tab;1;0.281322055147;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
+.png;None;17;0;34;0;None;1;;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;17;1;35;1;tab;1;0.280914630508;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
+.png;None;18;0;36;0;None;1;;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;18;1;37;1;tab;1;0.313127508736;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
+.png;None;19;0;38;0;None;1;;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;19;1;39;1;tab;1;0.28172680235;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;20;0;40;1;tab;1;0.285550703877;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
+.png;None;20;1;41;0;None;1;;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;21;0;42;1;tab;1;0.312237243401;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
+.png;None;21;1;43;0;None;1;;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
+.png;None;22;0;44;0;tab;0;0.343999857199;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;22;1;45;1;tab;1;0.281619256479;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
+.png;None;23;0;46;0;None;1;;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;23;1;47;1;tab;1;0.25035153213;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;24;0;48;1;tab;1;0.406740134;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
+.png;None;24;1;49;0;None;1;;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
+.png;None;25;0;50;0;None;1;;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;25;1;51;1;tab;1;0.25027165364;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
+.png;None;26;0;52;0;None;1;;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;26;1;53;1;tab;1;0.313279679394;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;27;0;54;1;tab;1;0.438259988674;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
+.png;None;27;1;55;0;None;1;;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
+.png;None;28;0;56;0;None;1;;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;28;1;57;1;tab;1;0.250402850565;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
+.png;None;29;0;58;0;None;1;;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
x.png;tab;29;1;59;1;tab;1;0.281458607176;3;y;KM_15;59.6534310795;go_no-go;2017_maj_25_1604
