stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,X16
+.png,None,0,0,0,0,tab,0,0.533014117,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,0,1,1,1,tab,1,0.1887299997,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,1,0,2,1,tab,1,0.3754103811,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,1,1,3,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,2,0,4,0,tab,0,0.1877451297,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,2,1,5,1,tab,1,0.1877781521,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,3,0,6,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,3,1,7,1,tab,1,0.5624013513,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,4,0,8,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,4,1,9,1,tab,1,0.3134032902,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,5,0,10,1,tab,1,0.3759186579,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,5,1,11,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,6,0,12,1,tab,1,0.1685006727,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,6,1,13,0,tab,0,0.1878205457,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,7,0,14,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,7,1,15,1,tab,1,0.437983761,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,8,0,16,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,8,1,17,1,tab,1,0.3125920108,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,9,0,18,1,tab,1,0.3753961012,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,9,1,19,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,10,0,20,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,10,1,21,1,tab,1,0.3918220541,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,11,0,22,1,tab,1,0.3754710709,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,11,1,23,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,12,0,24,1,tab,1,0.4061653662,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,12,1,25,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,13,0,26,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,13,1,27,1,tab,1,0.3442229814,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,14,0,28,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,14,1,29,1,tab,1,0.2192016172,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,15,0,30,1,tab,1,0.4903166355,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,15,1,31,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,16,0,32,1,tab,1,0.2506442709,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,16,1,33,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,17,0,34,0,tab,0,0.1880396536,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,17,1,35,1,tab,1,0.187348415,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,18,0,36,1,tab,1,0.3129472245,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,18,1,37,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,19,0,38,1,tab,1,0.4691916881,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,19,1,39,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,20,0,40,1,tab,1,0.2815804329,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,20,1,41,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,21,0,42,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,21,1,43,1,tab,1,0.3439846847,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,22,0,44,1,tab,1,0.2192957756,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,22,1,45,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,23,0,46,1,tab,1,0.2192002785,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,23,1,47,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,24,0,48,1,tab,1,0.3104143192,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,24,1,49,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,25,0,50,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,25,1,51,1,tab,1,0.3443247259,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,26,0,52,1,tab,1,0.3134269413,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,26,1,53,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,27,0,54,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,27,1,55,1,tab,1,0.3444679716,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,28,0,56,1,tab,1,0.1876380302,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,28,1,57,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
+.png,None,29,0,58,0,None,1,,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
x.png,tab,29,1,59,1,tab,1,0.2205091246,3,y,KM_16,32.0110536359,go_no-go,2017_maj_25_1644,
