1158.0022 	EXP 	stimulus: image = u'x.png'
1158.0022 	EXP 	cue: autoDraw = True
1158.0875 	EXP 	cue: autoDraw = False
1159.6036 	EXP 	stimulus: autoDraw = True
1159.7368 	EXP 	stimulus: autoDraw = False
1160.0369 	DATA 	Keypress: tab
1162.2201 	EXP 	New trial (rep=4, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1162.2357 	EXP 	cue: autoDraw = False
1162.2357 	EXP 	stimulus: autoDraw = False
1162.2357 	EXP 	stimulus: image = u'+.png'
1162.2357 	EXP 	cue: autoDraw = True
1162.3856 	EXP 	cue: autoDraw = False
1163.9017 	EXP 	stimulus: autoDraw = True
1164.0350 	EXP 	stimulus: autoDraw = False
1166.5181 	EXP 	New trial (rep=5, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1166.5339 	EXP 	cue: autoDraw = False
1166.5339 	EXP 	stimulus: autoDraw = False
1166.5339 	EXP 	stimulus: image = u'+.png'
1166.5339 	EXP 	cue: autoDraw = True
1166.6838 	EXP 	cue: autoDraw = False
1168.1998 	EXP 	stimulus: autoDraw = True
1168.3331 	EXP 	stimulus: autoDraw = False
1170.8163 	EXP 	New trial (rep=5, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1170.9009 	EXP 	cue: autoDraw = False
1170.9009 	EXP 	stimulus: autoDraw = False
1170.9009 	EXP 	stimulus: image = u'x.png'
1170.9009 	EXP 	cue: autoDraw = True
1170.9820 	EXP 	cue: autoDraw = False
1172.4980 	EXP 	stimulus: autoDraw = True
1172.6313 	EXP 	stimulus: autoDraw = False
1172.8481 	DATA 	Keypress: tab
1175.1146 	EXP 	New trial (rep=6, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1175.1911 	EXP 	cue: autoDraw = False
1175.1911 	EXP 	stimulus: autoDraw = False
1175.1911 	EXP 	stimulus: image = u'x.png'
1175.1911 	EXP 	cue: autoDraw = True
1175.2802 	EXP 	cue: autoDraw = False
1176.7962 	EXP 	stimulus: autoDraw = True
1176.9294 	EXP 	stimulus: autoDraw = False
1177.2795 	DATA 	Keypress: tab
1179.4127 	EXP 	New trial (rep=6, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1179.4284 	EXP 	cue: autoDraw = False
1179.4284 	EXP 	stimulus: autoDraw = False
1179.4284 	EXP 	stimulus: image = u'+.png'
1179.4284 	EXP 	cue: autoDraw = True
1179.5783 	EXP 	cue: autoDraw = False
1181.0944 	EXP 	stimulus: autoDraw = True
1181.2276 	EXP 	stimulus: autoDraw = False
1183.7108 	EXP 	New trial (rep=7, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1183.7964 	EXP 	cue: autoDraw = False
1183.7964 	EXP 	stimulus: autoDraw = False
1183.7964 	EXP 	stimulus: image = u'x.png'
1183.7964 	EXP 	cue: autoDraw = True
1183.8765 	EXP 	cue: autoDraw = False
1185.3925 	EXP 	stimulus: autoDraw = True
1185.5258 	EXP 	stimulus: autoDraw = False
1185.6926 	DATA 	Keypress: tab
1188.0090 	EXP 	New trial (rep=7, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1188.0247 	EXP 	cue: autoDraw = False
1188.0247 	EXP 	stimulus: autoDraw = False
1188.0247 	EXP 	stimulus: image = u'+.png'
1188.0247 	EXP 	cue: autoDraw = True
1188.1746 	EXP 	cue: autoDraw = False
1189.6907 	EXP 	stimulus: autoDraw = True
1189.8239 	EXP 	stimulus: autoDraw = False
1192.3071 	EXP 	New trial (rep=8, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1192.3872 	EXP 	cue: autoDraw = False
1192.3872 	EXP 	stimulus: autoDraw = False
1192.3872 	EXP 	stimulus: image = u'x.png'
1192.3872 	EXP 	cue: autoDraw = True
1192.4728 	EXP 	cue: autoDraw = False
1193.9889 	EXP 	stimulus: autoDraw = True
1194.1221 	EXP 	stimulus: autoDraw = False
1194.3222 	DATA 	Keypress: tab
1196.6054 	EXP 	New trial (rep=8, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1196.6211 	EXP 	cue: autoDraw = False
1196.6211 	EXP 	stimulus: autoDraw = False
1196.6211 	EXP 	stimulus: image = u'+.png'
1196.6211 	EXP 	cue: autoDraw = True
1196.7709 	EXP 	cue: autoDraw = False
1198.2870 	EXP 	stimulus: autoDraw = True
1198.4203 	EXP 	stimulus: autoDraw = False
1200.9035 	EXP 	New trial (rep=9, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1200.9192 	EXP 	cue: autoDraw = False
1200.9192 	EXP 	stimulus: autoDraw = False
1200.9192 	EXP 	stimulus: image = u'+.png'
1200.9192 	EXP 	cue: autoDraw = True
1201.0692 	EXP 	cue: autoDraw = False
1202.5851 	EXP 	stimulus: autoDraw = True
1202.7351 	EXP 	stimulus: autoDraw = False
1205.2016 	EXP 	New trial (rep=9, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1205.2841 	EXP 	cue: autoDraw = False
1205.2841 	EXP 	stimulus: autoDraw = False
1205.2841 	EXP 	stimulus: image = u'x.png'
1205.2841 	EXP 	cue: autoDraw = True
1205.3673 	EXP 	cue: autoDraw = False
