stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
x.png,tab,0,0,0,1,tab,1,0.616675853729,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,0,1,1,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,1,0,2,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,1,1,3,1,tab,1,0.28347992897,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,2,0,4,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,2,1,5,1,tab,1,0.233551979065,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,3,0,6,1,tab,1,0.283445835114,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,3,1,7,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,4,0,8,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,4,1,9,1,tab,1,0.33346581459,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,5,0,10,1,tab,1,0.333523035049,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,5,1,11,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,6,0,12,1,tab,1,0.366688966751,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,6,1,13,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,7,0,14,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,7,1,15,1,tab,1,0.266788959503,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,8,0,16,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,8,1,17,1,tab,1,0.300092935562,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,9,0,18,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,9,1,19,1,tab,1,0.250104904175,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,10,0,20,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,10,1,21,1,tab,1,0.516824007034,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,11,0,22,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,11,1,23,1,tab,1,0.266832113266,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,12,0,24,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,12,1,25,1,tab,1,0.183494091034,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,13,0,26,0,tab,0,0.233393907547,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,13,1,27,1,tab,1,0.366723060608,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,14,0,28,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,14,1,29,1,tab,1,0.649913072586,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,15,0,30,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,15,1,31,1,tab,1,0.316743135452,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,16,0,32,1,tab,1,0.350115060806,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,16,1,33,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,17,0,34,1,tab,1,0.183479070663,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,17,1,35,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,18,0,36,1,tab,1,0.383466005325,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,18,1,37,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,19,0,38,1,tab,1,0.300132989883,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,19,1,39,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,20,0,40,1,tab,1,0.216816902161,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,20,1,41,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,21,0,42,1,tab,1,0.366624116898,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,21,1,43,0,tab,0,0.366713047028,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,22,0,44,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,22,1,45,1,tab,1,0.266762018204,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,23,0,46,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,23,1,47,1,tab,1,0.350121974945,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,24,0,48,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,24,1,49,1,tab,1,0.183483123779,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,25,0,50,0,tab,0,0.38339805603,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,25,1,51,1,tab,1,0.366750001907,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,26,0,52,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,26,1,53,1,tab,1,0.283435821533,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,27,0,54,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,27,1,55,1,tab,1,0.350088119507,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,28,0,56,1,tab,1,0.250116109848,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,28,1,57,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
+.png,None,29,0,58,0,None,1,,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
x.png,tab,29,1,59,1,tab,1,0.266852855682,2,y,BJJ10,60.0304567365,go_no-go,2017_maj_24_1840,
