stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,
x.png,tab,0,0,0,1,tab,1,0.316765069962,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
+.png,None,0,1,1,0,None,1,,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
x.png,tab,1,0,2,1,tab,1,0.133485078812,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
+.png,None,1,1,3,0,tab,0,0.200820207596,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
+.png,None,2,0,4,0,tab,0,0.183504104614,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
x.png,tab,2,1,5,1,tab,1,0.250123023987,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
+.png,None,3,0,6,0,None,1,,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
x.png,tab,3,1,7,1,tab,1,0.250132083893,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
+.png,None,4,0,8,0,None,1,,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
x.png,tab,4,1,9,1,tab,1,0.133662939072,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
+.png,None,5,0,10,0,None,1,,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
x.png,tab,5,1,11,1,tab,1,0.150079965591,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
x.png,tab,6,0,12,1,tab,1,0.433785915375,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
+.png,None,6,1,13,0,None,1,,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
+.png,None,7,0,14,0,None,1,,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
x.png,tab,7,1,15,1,tab,1,0.400140047073,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
x.png,tab,8,0,16,1,None,0,,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
+.png,None,8,1,17,0,None,1,,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
+.png,None,9,0,18,0,None,1,,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
x.png,tab,9,1,19,1,tab,1,0.200516939163,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
+.png,None,10,0,20,0,None,1,,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
x.png,tab,10,1,21,1,tab,1,0.233507156372,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
+.png,None,11,0,22,0,None,1,,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
x.png,tab,11,1,23,1,tab,1,0.166836977005,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
+.png,None,12,0,24,0,None,1,,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
x.png,tab,12,1,25,1,None,0,,2,n,BJJ4,60.0088991011,go_no-go,2017_maj_24_1717,
