stimFile,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_respons.keys,key_respons.corr,key_respons.rt,session,noise,participant,frameRate,expName,date,X16
+.png,None,25,0,50,0,None,1,,3,y,KM_15,59.6534310795,go_no-go,2017_maj_25_1604,
x.png,tab,25,1,51,1,tab,1,0.2502716536,3,y,KM_15,59.6534310795,go_no-go,2017_maj_25_1604,
+.png,None,26,0,52,0,None,1,,3,y,KM_15,59.6534310795,go_no-go,2017_maj_25_1604,
x.png,tab,26,1,53,1,tab,1,0.3132796794,3,y,KM_15,59.6534310795,go_no-go,2017_maj_25_1604,
x.png,tab,27,0,54,1,tab,1,0.4382599887,3,y,KM_15,59.6534310795,go_no-go,2017_maj_25_1604,
+.png,None,27,1,55,0,None,1,,3,y,KM_15,59.6534310795,go_no-go,2017_maj_25_1604,
+.png,None,28,0,56,0,None,1,,3,y,KM_15,59.6534310795,go_no-go,2017_maj_25_1604,
x.png,tab,28,1,57,1,tab,1,0.2504028506,3,y,KM_15,59.6534310795,go_no-go,2017_maj_25_1604,
+.png,None,29,0,58,0,None,1,,3,y,KM_15,59.6534310795,go_no-go,2017_maj_25_1604,
x.png,tab,29,1,59,1,tab,1,0.2814586072,3,y,KM_15,59.6534310795,go_no-go,2017_maj_25_1604,
